"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.67222256257031e-53,1.95905778413548,0.295,0.103,1.44435866779609e-48,"0","NAPRT"
1.40318900907695e-52,1.41560318080406,0.448,0.212,2.33701129461766e-48,"0","YWHAE"
3.87828389595272e-52,1.45794225702878,0.432,0.203,6.45928182870925e-48,"0","TIMM8B"
1.01260585118183e-51,1.0065529115293,0.681,0.463,1.68649504514334e-47,"0","ACTR2"
3.20386051570797e-51,1.08311098625096,0.637,0.41,5.33602968891163e-47,"0","BLOC1S1"
4.20817968948335e-51,1.0524614373867,0.485,0.228,7.00872327283452e-47,"0","PLEK"
7.38747742082997e-51,0.597138662947068,0.88,0.744,1.23038436443923e-46,"0","ARPC1B"
2.32236866953402e-50,1.08127178694005,0.608,0.37,3.8679050191089e-46,"0","RTN4"
5.07862053629662e-50,1.53165254625838,0.357,0.146,8.45844250320202e-46,"0","BID"
8.49904976463148e-50,1.94093371764467,0.26,0.083,1.41551673829937e-45,"0","PIK3AP1"
1.88185201964459e-49,1.18342447279666,0.561,0.333,3.13422453871807e-45,"0","C7orf73"
2.31315503762654e-49,1.10922626999099,0.583,0.353,3.85255971516701e-45,"0","CAST"
2.60544254329682e-49,1.75936930661417,0.334,0.134,4.33936455586086e-45,"0","IER5"
4.1296837398591e-49,1.99699587935699,0.254,0.081,6.87798826873533e-45,"0","FUOM"
4.63945266834743e-49,0.980954473191148,0.667,0.448,7.72700841913264e-45,"0","LRRFIP1"
8.46597675754471e-48,1.00281039775296,0.616,0.387,1.41000842896907e-43,"0","GNG5"
1.94005182611289e-47,1.02747074019289,0.593,0.359,3.23115631639102e-43,"0","RHOG"
2.40791111241592e-47,0.772268999338896,0.513,0.244,4.01037595772872e-43,"0","HLA-DMB"
3.19492181488815e-47,0.673745051757573,0.861,0.696,5.32114228269621e-43,"0","KLF6"
7.13417154723712e-47,1.9078479487755,0.258,0.087,1.18819627119234e-42,"0","VAMP3"
7.44891451988194e-47,0.275811377158741,1,0.999,1.24061671328634e-42,"0","TPT1"
8.82578063613357e-47,0.782448485914663,0.79,0.653,1.46993376494805e-42,"0","UQCRH"
1.0625015439433e-46,1.43349577614495,0.399,0.188,1.76959632143756e-42,"0","GLIPR2"
1.40378387913321e-46,1.32120420702899,0.475,0.255,2.33800205069636e-42,"0","POLE4"
2.8870630433097e-46,1.57948374776889,0.269,0.09,4.8084034986323e-42,"0","PHACTR1"
3.55577660716571e-46,1.81283761619198,0.298,0.116,5.9221459392345e-42,"0","LAMP2"
4.91688537873738e-46,0.779866306581423,0.769,0.609,8.18907259828711e-42,"0","GPX4"
1.16389518345658e-45,1.05204286486522,0.601,0.404,1.93846742804694e-41,"0","LAMTOR1"
1.81633152341634e-45,0.975113914846236,0.62,0.394,3.02510015224991e-41,"0","MSN"
2.765776326454e-45,1.17610887582978,0.528,0.299,4.60640047170913e-41,"0","LSM6"
2.931599397612e-45,1.71384967302543,0.287,0.106,4.88257879672278e-41,"0","SYK"
4.50911335417104e-45,1.81185306451042,0.284,0.105,7.50992829137186e-41,"0","IRS2"
8.4782878017902e-45,1.7375539028374,0.306,0.122,1.41205883338816e-40,"0","TRMT1"
8.77469028353988e-45,1.48518914871705,0.385,0.182,1.46142466672357e-40,"0","CAPNS1"
2.8812314691216e-43,0.8204095059233,0.715,0.527,4.79869101182202e-39,"0","NDUFA11"
9.22345894338371e-43,1.46240914833094,0.367,0.168,1.53616708702056e-38,"0","ACAP2"
2.32630339171856e-42,1.68759266046506,0.25,0.086,3.87445829890726e-38,"0","IL17RA"
5.16625599780374e-42,1.23793789806947,0.465,0.255,8.60439936434213e-38,"0","LAMTOR2"
6.96431113752902e-42,1.05585651370075,0.581,0.384,1.15990601995546e-37,"0","HSD17B11"
7.01510912353993e-42,1.07558728397464,0.531,0.315,1.16836642452558e-37,"0","CAPZA2"
1.20031534017323e-41,1.09633139782028,0.533,0.322,1.99912519905851e-37,"0","ATP6AP2"
2.14138771899516e-41,1.4106449657123,0.366,0.168,3.56648124598644e-37,"0","TNFSF10"
2.46346325320217e-41,1.14399950680358,0.506,0.289,4.10289804820821e-37,"0","TMEM219"
2.54531066947281e-41,0.915216281406543,0.629,0.414,4.23921492000697e-37,"0","NDUFB7"
2.82685735263129e-41,1.60574947539356,0.329,0.146,4.70813092080742e-37,"0","NINJ1"
3.24476198038171e-41,1.15257201205848,0.491,0.282,5.40415107832574e-37,"0","GSTO1"
4.85339428805783e-41,1.51488388606121,0.33,0.145,8.08332818676031e-37,"0","DYNLT1"
7.57487204362889e-41,1.25869472095128,0.423,0.22,1.26159493886639e-36,"0","SSR3"
8.03287660493238e-41,0.831458267211545,0.543,0.32,1.33787559855149e-36,"0","TXN"
1.20572460405978e-40,0.994957732758413,0.565,0.359,2.00813432806156e-36,"0","NDUFS6"
2.1719316078401e-40,0.916067220811346,0.689,0.51,3.61735209285769e-36,"0","CCNL1"
3.30748997312548e-40,1.02800015923966,0.508,0.293,5.50862455024049e-36,"0","ARRB2"
1.02031413484932e-39,1.34789448773088,0.345,0.154,1.69933319159155e-35,"0","LGALS9"
5.07255579400193e-39,1.46729133269587,0.323,0.142,8.44834167491021e-35,"0","RPN1"
6.67760733505301e-39,0.782587926240173,0.765,0.64,1.11215550165308e-34,"0","ATP6V0E1"
7.0024344257187e-39,1.08184200264592,0.512,0.303,1.16625545360345e-34,"0","MOB1A"
8.7470665098259e-39,1.20281823324072,0.433,0.231,1.4568239272115e-34,"0","TIMM13"
9.00478835639883e-39,0.725959138401668,0.773,0.621,1.49974750075822e-34,"0","COX5B"
1.20553196435991e-38,1.11545115995163,0.498,0.293,2.00781348664144e-34,"0","CANX"
1.34274005097028e-38,0.92277773983722,0.627,0.438,2.23633355489101e-34,"0","PTP4A2"
1.52777960113125e-38,1.43810487528286,0.351,0.166,2.54451692568409e-34,"0","OAZ2"
1.97515128500173e-38,0.412305434650801,0.977,0.958,3.28961446517038e-34,"0","MT-ND5"
3.2658135000101e-38,0.962942086893884,0.524,0.31,5.43921238426682e-34,"0","FLNA"
5.71265392285277e-38,0.845942111164643,0.652,0.468,9.51442510851128e-34,"0","MINOS1"
9.18915278074112e-38,0.70317895005369,0.768,0.627,1.53045339563243e-33,"0","ATP5D"
1.26847304545881e-37,0.592364953434677,0.851,0.732,2.11264185721164e-33,"0","CDC42"
2.36551020013415e-36,1.26586127215695,0.427,0.234,3.93975723832343e-32,"0","JMJD1C"
9.46697198714746e-36,1.44975534181427,0.319,0.146,1.57672418445941e-31,"0","RNF13"
1.18993783832309e-35,1.56097966190252,0.295,0.131,1.98184146972711e-31,"0","UBE2R2"
1.32845839407108e-35,0.638427805243272,0.686,0.517,2.21254745532539e-31,"0","SEC61B"
1.35887836604901e-35,1.50331537474049,0.28,0.118,2.26321191865462e-31,"0","TNFRSF1A"
1.40695657656249e-35,1.16562098369389,0.4,0.213,2.34328617826482e-31,"0","NCOA4"
2.5535761139173e-35,1.71384923114132,0.253,0.101,4.25298101772927e-31,"0","LEPROT"
2.84718509447825e-35,1.03339816712731,0.53,0.334,4.74198677485352e-31,"0","ENY2"
4.46572979487728e-35,1.28575403065954,0.351,0.174,7.43767297336811e-31,"0","COMT"
4.55506214820693e-35,0.810482915708003,0.673,0.515,7.58645600783865e-31,"0","UQCRQ"
1.26348263174682e-34,1.21730607552671,0.383,0.196,2.10433032317433e-30,"0","CDC42EP3"
1.93796539233649e-34,0.552994804518905,0.872,0.769,3.22768136093642e-30,"0","GMFG"
2.96389611414969e-34,1.08551963748556,0.483,0.306,4.93636897811631e-30,"0","NDUFB5"
4.4331735090526e-34,0.390533671558055,0.947,0.918,7.38345047932711e-30,"0","ATP5L"
5.41228923643262e-34,1.44505446893929,0.294,0.131,9.01416772327854e-30,"0","ADRBK1"
7.41081960709833e-34,0.973290848330736,0.54,0.358,1.23427200556223e-29,"0","HMGB2"
8.9070236026708e-34,0.359879024166698,0.948,0.904,1.48346478102482e-29,"0","MYL6"
8.20617997399319e-33,1.20715696944432,0.427,0.248,1.36673927466857e-28,"0","OSBPL8"
9.403285552448e-33,0.428687767105795,0.917,0.844,1.56611720876021e-28,"0","ARPC2"
1.24474904101088e-32,1.50349782472231,0.279,0.123,2.07312952780362e-28,"0","DOCK2"
1.56746287281497e-32,1.4251151436373,0.305,0.143,2.61060941467333e-28,"0","VMA21"
1.57520072499061e-32,1.1305823466245,0.365,0.183,2.62349680747187e-28,"0","FAM96A"
2.42506048885559e-32,1.04491010908301,0.467,0.278,4.03893824418898e-28,"0","LAPTM4A"
4.80490204525231e-32,1.27761665124956,0.344,0.176,8.00256435636773e-28,"0","H2AFJ"
5.11463158210023e-32,1.28655080817078,0.301,0.138,8.51841889998794e-28,"0","MAPKAPK3"
2.62801217102515e-31,1.45921263717353,0.295,0.14,4.37695427084239e-27,"0","TXNDC17"
4.62992421376084e-31,1.15763257102369,0.276,0.12,7.71113877801867e-27,"0","LYL1"
1.69314936457461e-30,1.15604162533544,0.347,0.177,2.81994026669901e-26,"0","NAAA"
2.24982060918151e-30,1.04469032460767,0.419,0.238,3.7470762245918e-26,"0","CHMP4B"
6.15548354548254e-30,1.38896571397476,0.273,0.124,1.02519578450012e-25,"0","BCL2A1"
1.40658762671943e-29,1.32636927085229,0.287,0.135,2.34267169230121e-25,"0","LINC00657"
1.81003749035731e-29,1.21296233356007,0.341,0.18,3.01461744019009e-25,"0","VPS35"
2.34205464949461e-29,1.02324480187025,0.428,0.254,3.90069201873327e-25,"0","MTPN"
2.39049119798075e-29,0.673582982933734,0.674,0.529,3.98136309023694e-25,"0","NDUFA13"
2.67653387181276e-29,1.48094013968154,0.26,0.116,4.45776716350415e-25,"0","LAP3"
3.96879091418922e-29,1.21731963222877,0.318,0.16,6.61002126758214e-25,"0","GNB1"
5.02233945942199e-29,0.917068606120795,0.528,0.357,8.36470636966733e-25,"0","NDUFS7"
6.37530553543872e-29,0.694154064494448,0.663,0.499,1.06180713692732e-24,"0","EIF3M"
5.29438970974001e-28,0.613669233418727,0.713,0.571,8.81780606157199e-24,"0","BRK1"
7.07476291911324e-28,1.11712980398469,0.334,0.173,1.17830176417831e-23,"0","FAM200B"
7.20790601574815e-28,1.26612856825658,0.312,0.159,1.20047674692285e-23,"0","THEMIS2"
7.24629990682666e-28,0.899304332729977,0.423,0.241,1.20687124948198e-23,"0","POU2F2"
1.06275164672767e-27,1.23028467043105,0.348,0.193,1.77001286762494e-23,"0","CAMTA1"
2.01098600613803e-27,0.579917713539038,0.735,0.571,3.3492971932229e-23,"0","FYB"
2.389269361246e-27,0.812470805287882,0.618,0.471,3.97932812115521e-23,"0","H2AFZ"
3.23926787204353e-27,0.612450494730422,0.733,0.607,5.3950006408885e-23,"0","ARPC5"
4.05358259497255e-27,1.04642958249011,0.411,0.246,6.75124181192679e-23,"0","RNF181"
4.16116493443824e-27,1.13810806764322,0.365,0.205,6.93042019830689e-23,"0","BNIP2"
4.30516606473391e-27,1.2933175306215,0.276,0.131,7.17025408081433e-23,"0","NMI"
6.79126205691768e-27,1.13887001853457,0.336,0.179,1.13108469557964e-22,"0","SERPINB6"
8.98911305384707e-27,1.23572291627488,0.337,0.182,1.49713677911823e-22,"0","SPCS3"
1.19194124545802e-26,1.2227624518549,0.317,0.168,1.98517814431033e-22,"0","ATP1B3"
1.2831376625727e-26,0.650842579132105,0.711,0.596,2.13706577701484e-22,"0","USMG5"
1.37078469083598e-26,1.17363010375648,0.328,0.175,2.28304190258732e-22,"0","RNF149"
4.48382034168166e-26,1.27527497754364,0.274,0.133,7.46780277907081e-22,"0","TM9SF2"
1.59995819810574e-25,1.02848077544874,0.362,0.202,2.66473037894511e-21,"0","ZYX"
1.74276869578992e-25,0.976761523429925,0.398,0.232,2.90258126283811e-21,"0","CAT"
1.82117933200268e-25,0.974645078030142,0.439,0.28,3.03317417745047e-21,"0","MRPL23"
2.22903866834982e-25,0.968907046661798,0.289,0.139,3.71246390213663e-21,"0","LAT2"
3.90459777370763e-25,0.805660413161797,0.55,0.385,6.50310759211006e-21,"0","TMBIM4"
